task,roc_auc,auprc,f1
NR-AR,0.6942,0.4353,0.48
NR-AR-LBD,0.8685,0.4228,0.5405
NR-AhR,0.8415,0.597,0.5146
NR-Aromatase,0.7493,0.3536,0.2857
NR-ER,0.6679,0.3987,0.3974
NR-ER-LBD,0.6726,0.3038,0.3478
NR-PPAR-gamma,0.7078,0.2579,0.2051
SR-ARE,0.7344,0.4986,0.4278
SR-ATAD5,0.7263,0.181,0.2174
SR-HSE,0.7295,0.2947,0.3214
SR-MMP,0.8792,0.6651,0.6082
SR-p53,0.7731,0.3256,0.1935
